site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
LAC,2015,3,9,21,6,51,3/9/2015 14:06,2015.185972,5/1/3030,425.78,-999.999,33.8802,-117.8845,125,75,50,R,384256,L8,3/27/2015 0:59,...
LAC,2015,3,12,21,5,40,3/12/2015 14:05,2015.194189,7/1/3711,434.2,-999.999,34.0216,-118.2891,105,55,50,R,384270,L8,3/27/2015 4:26,...
LAC,2015,3,12,21,6,44,3/12/2015 14:06,2015.194191,7/1/3091,404.1,-999.999,34.2841,-118.4727,442,391,51,R,384236,L8,3/27/2015 2:50,...
LAC,2015,3,12,21,6,52,3/12/2015 14:06,2015.194191,7/1/3030,416.15,-999.999,33.8802,-117.8845,125,75,50,R,384258,L8,3/27/2015 1:15,...
LAC,2015,3,15,21,5,40,3/15/2015 14:05,2015.202408,9/1/3711,415,-999.999,34.0216,-118.2891,105,55,50,R,384272,L8,3/27/2015 4:42,...
LAC,2015,3,15,21,6,38,3/15/2015 14:06,2015.20241,9/1/3030,414.04,-999.999,33.8802,-117.8845,125,75,50,R,384260,L8,3/27/2015 1:31,...
LAC,2015,3,15,21,6,45,3/15/2015 14:06,2015.20241,9/1/3091,404.52,-999.999,34.2841,-118.4727,442,391,51,R,384238,L8,3/27/2015 3:06,...
LAC,2015,3,18,21,5,41,3/18/2015 14:05,2015.210627,11/1/3711,416.91,-999.999,34.0216,-118.2891,105,55,50,R,384274,L8,3/27/2015 4:58,...
LAC,2015,3,18,21,6,48,3/18/2015 14:06,2015.210629,11/1/3091,421.91,-999.999,34.2841,-118.4727,442,391,51,R,384240,L8,3/27/2015 3:22,...
LAC,2015,3,18,21,6,51,3/18/2015 14:06,2015.210629,11/1/3030,406.81,-999.999,33.8802,-117.8845,125,75,50,R,384262,L8,3/27/2015 1:47,...
LAC,2015,3,21,21,5,36,3/21/2015 14:05,2015.218846,1/1/3104,423.27,-999.999,34.0216,-118.2891,105,55,50,R,385017,L8,4/13/2015 21:20,...
LAC,2015,3,21,21,6,42,3/21/2015 14:06,2015.218848,1/1/3806,414.57,-999.999,33.8802,-117.8845,125,75,50,R,385029,L8,4/13/2015 18:09,...
LAC,2015,3,21,21,6,43,3/21/2015 14:06,2015.218848,1/1/3098,425.67,-999.999,34.2841,-118.4727,442,391,51,R,384993,L8,4/13/2015 19:45,...
LAC,2015,3,24,21,5,37,3/24/2015 14:05,2015.227065,3/1/3104,412.82,-999.999,34.0216,-118.2891,105,55,50,R,385019,L8,4/13/2015 21:36,...
LAC,2015,3,24,21,6,42,3/24/2015 14:06,2015.227068,3/1/3098,404.69,-999.999,34.2841,-118.4727,442,391,51,R,384995,L8,4/13/2015 20:01,...
LAC,2015,3,24,21,6,44,3/24/2015 14:06,2015.227068,3/1/3806,420.88,-999.999,33.8802,-117.8845,125,75,50,R,385031,L8,4/13/2015 18:25,...
LAC,2015,3,27,21,5,38,3/27/2015 14:05,2015.235285,5/1/3104,427.82,-999.999,34.0216,-118.2891,105,55,50,R,385021,L8,4/13/2015 21:52,...
LAC,2015,3,27,21,6,37,3/27/2015 14:06,2015.235287,5/1/3806,413.87,-999.999,33.8802,-117.8845,125,75,50,R,385033,L8,4/13/2015 18:41,...
LAC,2015,3,27,21,6,44,3/27/2015 14:06,2015.235287,5/1/3098,408.02,-999.999,34.2841,-118.4727,442,391,51,R,384997,L8,4/13/2015 20:17,...
LAC,2015,3,30,21,5,40,3/30/2015 14:05,2015.243504,7/1/3104,430.69,-999.999,34.0216,-118.2891,105,55,50,R,385023,L8,4/13/2015 22:08,...
LAC,2015,3,30,21,6,45,3/30/2015 14:06,2015.243506,7/1/3098,429.92,-999.999,34.2841,-118.4727,442,391,51,R,384999,L8,4/13/2015 20:33,...
LAC,2015,3,30,21,6,46,3/30/2015 14:06,2015.243506,7/1/3806,442.89,-999.999,33.8802,-117.8845,125,75,50,R,385035,L8,4/13/2015 18:57,...
LAC,2015,4,2,21,5,39,4/2/2015 14:05,2015.251723,9/1/3104,419.35,-999.999,34.0216,-118.2891,105,55,50,R,385025,L8,4/13/2015 22:24,...
LAC,2015,4,2,21,6,44,4/2/2015 14:06,2015.251725,9/1/3098,404.83,-999.999,34.2841,-118.4727,442,391,51,R,385001,L8,4/13/2015 20:48,...
LAC,2015,4,2,21,6,48,4/2/2015 14:06,2015.251725,9/1/3806,416.23,-999.999,33.8802,-117.8845,125,75,50,R,385037,L8,4/13/2015 19:13,...
LAC,2015,4,5,21,5,42,4/5/2015 14:05,2015.259942,11/1/3104,415.53,-999.999,34.0216,-118.2891,105,55,50,R,385027,L8,4/13/2015 22:40,...
LAC,2015,4,5,21,6,47,4/5/2015 14:06,2015.259944,11/1/3098,408.23,-999.999,34.2841,-118.4727,442,391,51,R,385003,L8,4/13/2015 21:04,...
LAC,2015,4,5,21,6,49,4/5/2015 14:06,2015.259944,11/1/3806,408.17,-999.999,33.8802,-117.8845,125,75,50,R,385039,L8,4/13/2015 19:29,...
LAC,2015,4,8,21,5,42,4/8/2015 14:05,2015.268162,1/1/3122,411.28,-999.999,34.0216,-118.2891,105,55,50,R,386238,L8,5/5/2015 16:59,...
LAC,2015,4,8,21,6,40,4/8/2015 14:06,2015.268163,1/1/3097,406.69,-999.999,34.2841,-118.4727,442,391,51,R,386297,L8,5/5/2015 20:10,...
LAC,2015,4,8,21,6,45,4/8/2015 14:06,2015.268164,1/1/3069,422.2,-999.999,33.8802,-117.8845,125,75,50,R,386261,L8,5/1/2015 19:27,...
LAC,2015,4,11,21,5,41,4/11/2015 14:05,2015.276381,3/1/3122,417.82,-999.999,34.0216,-118.2891,105,55,50,R,386240,L8,5/5/2015 17:15,...
LAC,2015,4,11,21,6,48,4/11/2015 14:06,2015.276383,3/1/3069,411.65,-999.999,33.8802,-117.8845,125,75,50,R,386263,L8,5/1/2015 19:43,...
LAC,2015,4,11,21,6,52,4/11/2015 14:06,2015.276383,3/1/3097,437.25,-999.999,34.2841,-118.4727,442,391,51,R,386299,L8,5/5/2015 20:26,...
LAC,2015,4,14,21,5,41,4/14/2015 14:05,2015.2846,5/1/3122,423.92,-999.999,34.0216,-118.2891,105,55,50,R,386242,L8,5/5/2015 17:31,...
LAC,2015,4,14,21,6,48,4/14/2015 14:06,2015.284602,5/1/3069,420.82,-999.999,33.8802,-117.8845,125,75,50,R,386265,L8,5/1/2015 19:59,...
LAC,2015,4,14,21,6,50,4/14/2015 14:06,2015.284602,5/1/3097,406.16,-999.999,34.2841,-118.4727,442,391,51,R,386301,L8,5/5/2015 20:42,...
LAC,2015,4,17,21,5,41,4/17/2015 14:05,2015.292819,7/1/3122,425.16,-999.999,34.0216,-118.2891,105,55,50,R,386244,L8,5/5/2015 17:47,...
LAC,2015,4,17,21,6,48,4/17/2015 14:06,2015.292821,7/1/3069,436.51,-999.999,33.8802,-117.8845,125,75,50,R,386267,L8,5/1/2015 20:15,...
LAC,2015,4,17,21,6,52,4/17/2015 14:06,2015.292821,7/1/3097,407.46,-999.999,34.2841,-118.4727,442,391,51,R,386303,L8,5/5/2015 20:58,...
LAC,2015,4,20,21,5,43,4/20/2015 14:05,2015.301038,9/1/3122,414.83,-999.999,34.0216,-118.2891,105,55,50,R,386246,L8,5/5/2015 18:02,...
LAC,2015,4,20,21,6,48,4/20/2015 14:06,2015.30104,9/1/3069,413.33,-999.999,33.8802,-117.8845,125,75,50,R,386269,L8,5/1/2015 20:30,...
LAC,2015,4,20,21,6,54,4/20/2015 14:06,2015.301041,9/1/3097,419.05,-999.999,34.2841,-118.4727,442,391,51,R,386305,L8,5/5/2015 21:14,...
LAC,2015,4,23,21,5,43,4/23/2015 14:05,2015.309257,11/1/3122,409.31,-999.999,34.0216,-118.2891,105,55,50,R,386248,L8,5/5/2015 18:18,...
LAC,2015,4,23,21,6,52,4/23/2015 14:06,2015.30926,11/1/3069,419.47,-999.999,33.8802,-117.8845,125,75,50,R,386271,L8,5/1/2015 20:46,...
LAC,2015,4,27,21,6,3,4/27/2015 14:06,2015.320217,1/1/3503,412.96,-999.999,34.0216,-118.2891,105,55,50,R,387625,L8,5/26/2015 21:33,...
LAC,2015,4,27,21,6,48,4/27/2015 14:06,2015.320218,1/1/3716,422.01,-999.999,33.8802,-117.8845,125,75,50,R,387613,L8,5/26/2015 23:09,...
LAC,2015,4,27,21,6,57,4/27/2015 14:06,2015.320219,1/1/3933,404.06,-999.999,34.2841,-118.4727,442,391,51,R,387601,L8,5/26/2015 19:58,...
LAC,2015,5,1,21,6,5,5/1/2015 14:06,2015.331176,3/1/3503,416.27,-999.999,34.0216,-118.2891,105,55,50,R,387627,L8,5/26/2015 21:49,...
LAC,2015,5,1,21,6,46,5/1/2015 14:06,2015.331177,3/1/3716,433.84,-999.999,33.8802,-117.8845,125,75,50,R,387615,L8,5/26/2015 23:24,...
LAC,2015,5,1,21,6,57,5/1/2015 14:06,2015.331178,3/1/3933,405.91,-999.999,34.2841,-118.4727,442,391,51,R,387603,L8,5/26/2015 20:14,...
LAC,2015,5,5,21,5,58,5/5/2015 14:05,2015.342135,5/1/3503,410.49,-999.999,34.0216,-118.2891,105,55,50,R,387629,L8,5/26/2015 22:05,...
LAC,2015,5,5,21,6,48,5/5/2015 14:06,2015.342136,5/1/3716,409.59,-999.999,33.8802,-117.8845,125,75,50,R,387617,L8,5/26/2015 23:40,...
LAC,2015,5,5,21,6,55,5/5/2015 14:06,2015.342136,5/1/3933,414.54,-999.999,34.2841,-118.4727,442,391,51,R,387605,L8,5/26/2015 20:30,...
LAC,2015,5,9,21,6,0,5/9/2015 14:06,2015.353094,7/1/3503,409.75,-999.999,34.0216,-118.2891,105,55,50,R,387631,L8,5/26/2015 22:21,...
LAC,2015,5,9,21,6,49,5/9/2015 14:06,2015.353095,7/1/3716,407.87,-999.999,33.8802,-117.8845,125,75,50,R,387619,L8,5/26/2015 23:56,...
LAC,2015,5,9,21,6,54,5/9/2015 14:06,2015.353095,7/1/3933,410.77,-999.999,34.2841,-118.4727,442,391,51,R,387607,L8,5/26/2015 20:45,...
LAC,2015,5,13,21,6,2,5/13/2015 14:06,2015.364053,9/1/3503,412.02,-999.999,34.0216,-118.2891,105,55,50,R,387633,L8,5/26/2015 22:37,...
LAC,2015,5,13,21,6,50,5/13/2015 14:06,2015.364054,9/1/3716,414,-999.999,33.8802,-117.8845,125,75,50,R,387621,L8,5/27/2015 0:12,...
LAC,2015,5,13,21,6,58,5/13/2015 14:06,2015.364054,9/1/3933,415.18,-999.999,34.2841,-118.4727,442,391,51,R,387609,L8,5/26/2015 21:01,...
LAC,2015,5,17,21,6,4,5/17/2015 14:06,2015.375012,11/1/3503,417.57,-999.999,34.0216,-118.2891,105,55,50,R,387635,L8,5/26/2015 22:53,...
LAC,2015,5,17,21,6,50,5/17/2015 14:06,2015.375013,11/1/3716,410.4,-999.999,33.8802,-117.8845,125,75,50,R,387623,L8,5/27/2015 0:28,...
LAC,2015,5,17,21,7,3,5/17/2015 14:07,2015.375013,11/1/3933,415.07,-999.999,34.2841,-118.4727,442,391,51,R,387611,L8,5/26/2015 21:17,...
LAC,2015,5,21,21,3,54,5/21/2015 14:03,2015.385966,1/1/3093,405.33,-999.999,34.0216,-118.2891,105,55,50,R,389105,L8,6/17/2015 18:44,...
LAC,2015,5,21,21,6,5,5/21/2015 14:06,2015.38597,1/1/3076,404.66,-999.999,33.8802,-117.8845,125,75,50,R,388943,L8,6/17/2015 20:20,...
LAC,2015,5,21,21,6,13,5/21/2015 14:06,2015.385971,1/1/3134,406.86,-999.999,34.2841,-118.4727,442,391,51,R,388977,L8,6/17/2015 17:09,...
LAC,2015,5,25,21,3,53,5/25/2015 14:03,2015.396925,3/1/3093,416.4,-999.999,34.0216,-118.2891,105,55,50,R,389107,L8,6/17/2015 19:00,...
