Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1998,1998,ha,138668816,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1998,1998,100 g/ha,44355,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1998,1998,t,615071304.6,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1999,1999,ha,137253828,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1999,1999,100 g/ha,44255,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1999,1999,t,607422351.8,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2000,2000,ha,136926328,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2000,2000,100 g/ha,43236,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2000,2000,t,592019783.3,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2001,2001,ha,137382817,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2001,2001,100 g/ha,44776,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2001,2001,t,615141837.2,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2002,2002,ha,137461766,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2002,2002,100 g/ha,43906,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2002,2002,t,603538033.3,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2003,2003,ha,144596663,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2003,2003,100 g/ha,44610,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2003,2003,t,645044177.3,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2004,2004,ha,147530577,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2004,2004,100 g/ha,49448,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2004,2004,t,729502872.7,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2005,2005,ha,148203455,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2005,2005,100 g/ha,48188,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2005,2005,t,714160378.4,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2006,2006,ha,148201895,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2006,2006,100 g/ha,47765,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2006,2006,t,707891204.1,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2007,2007,ha,159255135,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2007,2007,100 g/ha,49827,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2007,2007,t,793515430.7,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2008,2008,ha,163680300,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2008,2008,100 g/ha,50695,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2008,2008,t,829776428.7,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2009,2009,ha,159393034,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2009,2009,100 g/ha,51496,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2009,2009,t,820804323,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2010,2010,ha,165340309,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2010,2010,100 g/ha,51572,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2010,2010,t,852693615.7,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2011,2011,ha,172752289,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2011,2011,100 g/ha,51385,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2011,2011,t,887686113.2,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2012,2012,ha,180378103,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2012,2012,100 g/ha,48488,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2012,2012,t,874613898.1,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2013,2013,ha,187539433,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2013,2013,100 g/ha,54211,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2013,2013,t,1016672048,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2014,2014,ha,186490319,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2014,2014,100 g/ha,55790,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2014,2014,t,1040424660,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2015,2015,ha,191058037,A,Official figure,
